Area Type;Area;Year;value;Estimate;﻿FIPS
County;Camden;2015-07-01;9984;Annual Estimate;37029
County;Wake;1981-07-01;310334;Annual Estimate;37183
County;Camden;2018-07-01;10124;Annual Estimate;37029
County;Wake;1986-07-01;373616;Annual Estimate;37183
County;Camden;2023-07-01;10815;Annual Estimate;37029
County;Wake;1989-07-01;413959;Annual Estimate;37183
County;Carteret;1988-07-01;51181;Annual Estimate;37031
County;Wake;2003-07-01;699267;Annual Estimate;37183
County;Carteret;1989-07-01;51595;Annual Estimate;37031
County;Wake;2023-07-01;1205782;Annual Estimate;37183
County;Carteret;2000-04-01;59334;Estimates Base;37031
County;Warren;1983-07-01;16423;Annual Estimate;37185
County;Carteret;2000-07-01;59386;Annual Estimate;37031
County;Warren;1985-07-01;16758;Annual Estimate;37185
County;Carteret;2002-07-01;60147;Annual Estimate;37031
County;Warren;1991-07-01;17480;Annual Estimate;37185
County;Carteret;2018-07-01;67878;Annual Estimate;37031
County;Warren;1995-07-01;18623;Annual Estimate;37185
County;Carteret;2020-04-01;67687;Estimates Base;37031
County;Warren;2005-07-01;20541;Annual Estimate;37185
County;Carteret;2020-07-01;67950;Annual Estimate;37031
County;Warren;2007-07-01;20651;Annual Estimate;37185
County;Caswell;1983-07-01;21421;Annual Estimate;37033
County;Warren;2011-07-01;20901;Annual Estimate;37185
County;Caswell;2001-07-01;23691;Annual Estimate;37033
County;Warren;2022-07-01;18780;Annual Estimate;37185
County;Caswell;2008-07-01;23570;Annual Estimate;37033
County;Washington;1983-07-01;14423;Annual Estimate;37187
County;Caswell;2009-07-01;23847;Annual Estimate;37033
County;Washington;1991-07-01;14113;Annual Estimate;37187
County;Caswell;2017-07-01;22973;Annual Estimate;37033
County;Washington;1994-07-01;14261;Annual Estimate;37187
County;Catawba;1980-04-01;105208;Estimates Base;37035
County;Washington;1998-07-01;13812;Annual Estimate;37187
County;Catawba;1987-07-01;114636;Annual Estimate;37035
County;Washington;2011-07-01;12886;Annual Estimate;37187
County;Catawba;1998-07-01;136181;Annual Estimate;37035
County;Washington;2012-07-01;12508;Annual Estimate;37187
County;Catawba;2006-07-01;148386;Annual Estimate;37035
County;Washington;2019-07-01;11160;Annual Estimate;37187
County;Catawba;2010-07-01;154760;Annual Estimate;37035
County;Washington;2022-07-01;10636;Annual Estimate;37187
County;Catawba;2020-04-01;160609;Estimates Base;37035
County;Washington;2023-07-01;10584;Annual Estimate;37187
County;Chatham;1982-07-01;34437;Annual Estimate;37037
County;Watauga;1980-04-01;31666;Estimates Base;37189
County;Chatham;1985-07-01;35826;Annual Estimate;37037
County;Watauga;1996-07-01;41254;Annual Estimate;37189
County;Chatham;2003-07-01;53791;Annual Estimate;37037
County;Watauga;2005-07-01;45795;Annual Estimate;37189
County;Chatham;2013-07-01;66048;Annual Estimate;37037
County;Watauga;2009-07-01;50121;Annual Estimate;37189
County;Cherokee;1975-07-01;17700;Annual Estimate;37039
County;Watauga;2010-04-01;51061;Estimates Base;37189
County;Cherokee;1995-07-01;22386;Annual Estimate;37039
County;Watauga;2012-07-01;51869;Annual Estimate;37189
County;Cherokee;2005-07-01;25991;Annual Estimate;37039
County;Watauga;2013-07-01;51802;Annual Estimate;37189
County;Cherokee;2014-07-01;27210;Annual Estimate;37039
County;Watauga;2015-07-01;52331;Annual Estimate;37189
County;Cherokee;2020-04-01;28774;Estimates Base;37039
County;Wayne;2002-07-01;114786;Annual Estimate;37191
County;Chowan;1995-07-01;14058;Annual Estimate;37041
County;Wayne;2004-07-01;116698;Annual Estimate;37191
County;Chowan;1999-07-01;14149;Annual Estimate;37041
County;Wayne;2009-07-01;121852;Annual Estimate;37191
County;Chowan;2000-04-01;14522;Estimates Base;37041
County;Wayne;2013-07-01;122793;Annual Estimate;37191
County;Chowan;2001-07-01;14341;Annual Estimate;37041
County;Wilkes;1975-07-01;55500;Annual Estimate;37193
County;Chowan;2018-07-01;13802;Annual Estimate;37041
County;Wilkes;1987-07-01;59890;Annual Estimate;37193
County;Chowan;2020-04-01;13709;Estimates Base;37041
County;Wilkes;1996-07-01;63368;Annual Estimate;37193
County;Clay;1981-07-01;6789;Annual Estimate;37043
County;Wilkes;2016-07-01;67312;Annual Estimate;37193
County;Clay;1987-07-01;7175;Annual Estimate;37043
County;Wilson;1985-07-01;64373;Annual Estimate;37195
County;Clay;1990-04-01;7155;Estimates Base;37043
County;Wilson;1986-07-01;64542;Annual Estimate;37195
County;Clay;2004-07-01;9600;Annual Estimate;37043
County;Wilson;1988-07-01;65492;Annual Estimate;37195
County;Clay;2005-07-01;9792;Annual Estimate;37043
County;Wilson;1989-07-01;66019;Annual Estimate;37195
County;Cleveland;1982-07-01;83133;Annual Estimate;37045
County;Wilson;1992-07-01;67563;Annual Estimate;37195
County;Cleveland;2000-04-01;96129;Estimates Base;37045
County;Wilson;2002-07-01;75300;Annual Estimate;37195
County;Cleveland;2015-07-01;97024;Annual Estimate;37045
County;Wilson;2021-07-01;79163;Annual Estimate;37195
County;Columbus;1970-04-01;46937;Estimates Base;37047
County;Wilson;2022-07-01;79239;Annual Estimate;37195
County;Columbus;1987-07-01;50729;Annual Estimate;37047
County;Yadkin;1982-07-01;29065;Annual Estimate;37197
County;Columbus;1991-07-01;50109;Annual Estimate;37047
County;Yadkin;1989-07-01;30349;Annual Estimate;37197
County;Columbus;1994-07-01;51945;Annual Estimate;37047
County;Yadkin;2004-07-01;36976;Annual Estimate;37197
County;Columbus;2006-07-01;55585;Annual Estimate;37047
County;Yadkin;2010-04-01;38412;Estimates Base;37197
County;Columbus;2009-07-01;57674;Annual Estimate;37047
County;Yadkin;2021-07-01;36663;Annual Estimate;37197
County;Columbus;2011-07-01;57484;Annual Estimate;37047
County;Yancey;1999-07-01;17595;Annual Estimate;37199
County;Columbus;2023-07-01;49926;Annual Estimate;37047
County;Yancey;2000-04-01;17758;Estimates Base;37199
County;Craven;1984-07-01;76985;Annual Estimate;37049
County;Yancey;2008-07-01;17943;Annual Estimate;37199
County;Craven;1997-07-01;89756;Annual Estimate;37049
County;Yancey;2009-07-01;17872;Annual Estimate;37199
County;Craven;2017-07-01;101863;Annual Estimate;37049
County;Yancey;2010-04-01;17817;Estimates Base;37199
County;Craven;2020-07-01;101928;Annual Estimate;37049
County;Yancey;2019-07-01;18390;Annual Estimate;37199
County;Cumberland;1980-04-01;247160;Estimates Base;37051
State;North Carolina;1981-07-01;5955597;Annual Estimate;37000
County;Cumberland;1982-07-01;251319;Annual Estimate;37051
State;North Carolina;1988-07-01;6483344;Annual Estimate;37000
County;Cumberland;1983-07-01;254981;Annual Estimate;37051
State;North Carolina;1991-07-01;6782573;Annual Estimate;37000
County;Cumberland;2000-04-01;302978;Estimates Base;37051
State;North Carolina;1995-07-01;7342026;Annual Estimate;37000
County;Cumberland;2010-07-01;327275;Annual Estimate;37051
State;North Carolina;1997-07-01;7653854;Annual Estimate;37000
County;Cumberland;2011-07-01;331103;Annual Estimate;37051
State;North Carolina;2017-07-01;10181491;Annual Estimate;37000
County;Cumberland;2019-07-01;334641;Annual Estimate;37051
State;North Carolina;2018-07-01;10284335;Annual Estimate;37000
County;Currituck;1981-07-01;11187;Annual Estimate;37053
State;North Carolina;2020-04-01;10441711;Estimates Base;37000
County;Currituck;1988-07-01;13325;Annual Estimate;37053
State;North Carolina;2022-07-01;10714625;Annual Estimate;37000
County;Currituck;1992-07-01;14579;Annual Estimate;37053
State;North Carolina;2024-07-01;11052495;Annual Estimate;37000
County;Currituck;1995-07-01;16041;Annual Estimate;37053
County;Currituck;1996-07-01;16583;Annual Estimate;37053
County;Currituck;1997-07-01;16950;Annual Estimate;37053
County;Currituck;2000-07-01;18290;Annual Estimate;37053
County;Currituck;2003-07-01;20352;Annual Estimate;37053
County;Currituck;2004-07-01;21602;Annual Estimate;37053
County;Currituck;2005-07-01;22636;Annual Estimate;37053
County;Currituck;2011-07-01;23897;Annual Estimate;37053
County;Currituck;2014-07-01;24663;Annual Estimate;37053
County;Currituck;2015-07-01;25122;Annual Estimate;37053
County;Currituck;2022-07-01;30859;Annual Estimate;37053
County;Currituck;2023-07-01;31705;Annual Estimate;37053
County;Dare;1983-07-01;15115;Annual Estimate;37055
County;Dare;2000-07-01;30170;Annual Estimate;37055
County;Dare;2007-07-01;34215;Annual Estimate;37055
County;Dare;2010-07-01;33954;Annual Estimate;37055
County;Dare;2016-07-01;35557;Annual Estimate;37055
County;Dare;2017-07-01;35939;Annual Estimate;37055
County;Davidson;1994-07-01;136189;Annual Estimate;37057
County;Davidson;1998-07-01;144246;Annual Estimate;37057
County;Davidson;2000-04-01;147248;Estimates Base;37057
County;Davidson;2006-07-01;155040;Annual Estimate;37057
County;Davidson;2008-07-01;159623;Annual Estimate;37057
County;Davidson;2021-07-01;171321;Annual Estimate;37057
County;Davie;1991-07-01;28432;Annual Estimate;37059
County;Davie;1998-07-01;33093;Annual Estimate;37059
County;Davie;2007-07-01;39772;Annual Estimate;37059
County;Davie;2015-07-01;41207;Annual Estimate;37059
County;Davie;2017-07-01;41982;Annual Estimate;37059
County;Davie;2024-07-01;44780;Annual Estimate;37059
County;Duplin;1986-07-01;40336;Annual Estimate;37061
County;Duplin;1999-07-01;48563;Annual Estimate;37061
County;Duplin;2010-07-01;58347;Annual Estimate;37061
County;Duplin;2011-07-01;58104;Annual Estimate;37061
County;Duplin;2012-07-01;57182;Annual Estimate;37061
County;Duplin;2013-07-01;56066;Annual Estimate;37061
County;Durham;1985-07-01;163961;Annual Estimate;37063
County;Durham;1994-07-01;198263;Annual Estimate;37063
County;Durham;2010-04-01;269998;Estimates Base;37063
County;Durham;2017-07-01;310669;Annual Estimate;37063
County;Edgecombe;1970-04-01;52341;Estimates Base;37065
County;Edgecombe;1982-07-01;56728;Annual Estimate;37065
County;Edgecombe;1998-07-01;56280;Annual Estimate;37065
County;Edgecombe;2004-07-01;55668;Annual Estimate;37065
County;Edgecombe;2008-07-01;55777;Annual Estimate;37065
County;Edgecombe;2010-07-01;56498;Annual Estimate;37065
County;Edgecombe;2011-07-01;55809;Annual Estimate;37065
County;Edgecombe;2012-07-01;55191;Annual Estimate;37065
County;Edgecombe;2020-04-01;48891;Estimates Base;37065
County;Forsyth;1991-07-01;269591;Annual Estimate;37067
County;Forsyth;1992-07-01;272348;Annual Estimate;37067
County;Forsyth;2002-07-01;313803;Annual Estimate;37067
County;Forsyth;2005-07-01;324372;Annual Estimate;37067
County;Franklin;1975-07-01;28700;Annual Estimate;37069
County;Franklin;1993-07-01;39880;Annual Estimate;37069
County;Franklin;1995-07-01;42158;Annual Estimate;37069
County;Franklin;1997-07-01;44379;Annual Estimate;37069
County;Franklin;2009-07-01;59502;Annual Estimate;37069
County;Franklin;2018-07-01;65603;Annual Estimate;37069
County;Franklin;2021-07-01;70165;Annual Estimate;37069
County;Gaston;1986-07-01;171475;Annual Estimate;37071
County;Gaston;1990-04-01;174769;Estimates Base;37071
County;Gaston;1997-07-01;185635;Annual Estimate;37071
County;Gaston;2009-07-01;205376;Annual Estimate;37071
County;Gaston;2010-04-01;206100;Estimates Base;37071
County;Gates;1975-07-01;8700;Annual Estimate;37073
County;Gates;1985-07-01;9115;Annual Estimate;37073
County;Gates;1988-07-01;9334;Annual Estimate;37073
County;Gates;1995-07-01;10047;Annual Estimate;37073
County;Gates;1997-07-01;10260;Annual Estimate;37073
County;Gates;2005-07-01;11305;Annual Estimate;37073
County;Gates;2011-07-01;11895;Annual Estimate;37073
County;Gates;2012-07-01;11798;Annual Estimate;37073
County;Gates;2015-07-01;11091;Annual Estimate;37073
County;Graham;1975-07-01;6700;Annual Estimate;37075
County;Graham;1984-07-01;7277;Annual Estimate;37075
County;Graham;1995-07-01;7639;Annual Estimate;37075
County;Graham;2013-07-01;8615;Annual Estimate;37075
County;Graham;2023-07-01;7994;Annual Estimate;37075
County;Granville;1975-07-01;33600;Annual Estimate;37077
County;Granville;1980-04-01;34043;Estimates Base;37077
County;Granville;1983-07-01;35266;Annual Estimate;37077
County;Granville;2006-07-01;55252;Annual Estimate;37077
County;Granville;2016-07-01;58854;Annual Estimate;37077
County;Granville;2017-07-01;59895;Annual Estimate;37077
County;Greene;1975-07-01;14900;Annual Estimate;37079
County;Greene;1990-04-01;15384;Estimates Base;37079
County;Greene;1991-07-01;15656;Annual Estimate;37079
County;Greene;1993-07-01;16248;Annual Estimate;37079
County;Greene;1994-07-01;16684;Annual Estimate;37079
County;Greene;1998-07-01;18957;Annual Estimate;37079
County;Greene;2018-07-01;20718;Annual Estimate;37079
County;Greene;2019-07-01;20502;Annual Estimate;37079
County;Guilford;1983-07-01;324672;Annual Estimate;37081
County;Guilford;2006-07-01;454488;Annual Estimate;37081
County;Guilford;2016-07-01;524983;Annual Estimate;37081
County;Halifax;1997-07-01;57832;Annual Estimate;37083
County;Halifax;2002-07-01;56903;Annual Estimate;37083
County;Halifax;2006-07-01;55303;Annual Estimate;37083
County;Halifax;2010-04-01;54631;Estimates Base;37083
County;Halifax;2011-07-01;54012;Annual Estimate;37083
County;Halifax;2015-07-01;51003;Annual Estimate;37083
County;Halifax;2020-04-01;48622;Estimates Base;37083
County;Halifax;2020-07-01;48289;Annual Estimate;37083
County;Harnett;1975-07-01;55700;Annual Estimate;37085
County;Harnett;1984-07-01;62282;Annual Estimate;37085
County;Harnett;1992-07-01;71540;Annual Estimate;37085
County;Harnett;2000-04-01;90978;Estimates Base;37085
County;Harnett;2003-07-01;96696;Annual Estimate;37085
County;Harnett;2006-07-01;102373;Annual Estimate;37085
County;Harnett;2008-07-01;108490;Annual Estimate;37085
County;Harnett;2010-04-01;114693;Estimates Base;37085
County;Harnett;2015-07-01;125704;Annual Estimate;37085
County;Harnett;2022-07-01;135949;Annual Estimate;37085
County;Harnett;2023-07-01;139135;Annual Estimate;37085
County;Haywood;2000-04-01;54025;Estimates Base;37087
County;Haywood;2005-07-01;56441;Annual Estimate;37087
County;Haywood;2007-07-01;57722;Annual Estimate;37087
County;Henderson;1984-07-01;64019;Annual Estimate;37089
County;Henderson;2008-07-01;104086;Annual Estimate;37089
County;Henderson;2015-07-01;110946;Annual Estimate;37089
County;Henderson;2024-07-01;122513;Annual Estimate;37089
County;Hertford;1984-07-01;23317;Annual Estimate;37091
County;Hertford;2003-07-01;23626;Annual Estimate;37091
County;Hertford;2005-07-01;23773;Annual Estimate;37091
County;Hertford;2021-07-01;19511;Annual Estimate;37091
County;Hoke;1986-07-01;22049;Annual Estimate;37093
County;Hoke;1990-04-01;22856;Estimates Base;37093
County;Hoke;1993-07-01;25305;Annual Estimate;37093
County;Hoke;1994-07-01;27386;Annual Estimate;37093
County;Hoke;1996-07-01;29369;Annual Estimate;37093
County;Hoke;1999-07-01;33123;Annual Estimate;37093
County;Hoke;2000-04-01;33708;Estimates Base;37093
County;Hoke;2004-07-01;38083;Annual Estimate;37093
County;Hoke;2005-07-01;39929;Annual Estimate;37093
County;Hoke;2009-07-01;45973;Annual Estimate;37093
County;Hoke;2017-07-01;51769;Annual Estimate;37093
County;Hoke;2018-07-01;52065;Annual Estimate;37093
County;Hoke;2019-07-01;52193;Annual Estimate;37093
County;Hoke;2021-07-01;53916;Annual Estimate;37093
County;Hyde;1982-07-01;5879;Annual Estimate;37095
County;Hyde;1985-07-01;5834;Annual Estimate;37095
County;Hyde;1997-07-01;5403;Annual Estimate;37095
County;Hyde;2010-04-01;5817;Estimates Base;37095
County;Iredell;1985-07-01;87100;Annual Estimate;37097
County;Iredell;1989-07-01;91791;Annual Estimate;37097
County;Iredell;2000-04-01;122631;Estimates Base;37097
County;Iredell;2022-07-01;197173;Annual Estimate;37097
County;Jackson;1983-07-01;26557;Annual Estimate;37099
County;Jackson;1989-07-01;26795;Annual Estimate;37099
County;Jackson;1995-07-01;30207;Annual Estimate;37099
County;Jackson;1996-07-01;30843;Annual Estimate;37099
County;Jackson;2000-07-01;33275;Annual Estimate;37099
County;Jackson;2005-07-01;36751;Annual Estimate;37099
County;Jackson;2007-07-01;38181;Annual Estimate;37099
County;Jackson;2017-07-01;42884;Annual Estimate;37099
County;Jackson;2019-07-01;43060;Annual Estimate;37099
County;Johnston;1981-07-01;71430;Annual Estimate;37101
County;Johnston;1988-07-01;78931;Annual Estimate;37101
County;Johnston;1994-07-01;93828;Annual Estimate;37101
County;Johnston;1998-07-01;113002;Annual Estimate;37101
County;Johnston;2019-07-01;211110;Annual Estimate;37101
County;Jones;1970-04-01;9779;Estimates Base;37103
County;Jones;1985-07-01;9383;Annual Estimate;37103
County;Jones;1986-07-01;9383;Annual Estimate;37103
County;Jones;1992-07-01;9617;Annual Estimate;37103
County;Jones;1996-07-01;9881;Annual Estimate;37103
County;Jones;1998-07-01;10080;Annual Estimate;37103
County;Jones;2022-07-01;9111;Annual Estimate;37103
County;Jones;2024-07-01;9317;Annual Estimate;37103
County;Lee;1980-04-01;36718;Estimates Base;37105
County;Lee;1981-07-01;36990;Annual Estimate;37105
County;Lee;1994-07-01;44738;Annual Estimate;37105
County;Lee;1996-07-01;46995;Annual Estimate;37105
County;Lee;2018-07-01;61868;Annual Estimate;37105
County;Lenoir;1975-07-01;58500;Annual Estimate;37107
County;Lenoir;1986-07-01;58207;Annual Estimate;37107
County;Lenoir;1989-07-01;57302;Annual Estimate;37107
County;Lenoir;1993-07-01;58987;Annual Estimate;37107
County;Lenoir;1995-07-01;59713;Annual Estimate;37107
County;Lenoir;2008-07-01;59377;Annual Estimate;37107
County;Lenoir;2014-07-01;57706;Annual Estimate;37107
County;Lincoln;1980-04-01;42372;Estimates Base;37109
County;Lincoln;1983-07-01;43630;Annual Estimate;37109
County;Lincoln;1986-07-01;46064;Annual Estimate;37109
County;Lincoln;1990-04-01;50319;Estimates Base;37109
County;Lincoln;2000-04-01;63810;Estimates Base;37109
County;Lincoln;2000-07-01;64164;Annual Estimate;37109
County;Lincoln;2003-07-01;67543;Annual Estimate;37109
County;Lincoln;2008-07-01;75759;Annual Estimate;37109
County;Lincoln;2010-04-01;78001;Estimates Base;37109
County;Lincoln;2012-07-01;78449;Annual Estimate;37109
County;Lincoln;2021-07-01;88254;Annual Estimate;37109
County;McDowell;1983-07-01;35739;Annual Estimate;37111
County;McDowell;1990-04-01;35681;Estimates Base;37111
County;McDowell;1999-07-01;42040;Annual Estimate;37111
County;Macon;1986-07-01;22643;Annual Estimate;37113
County;Macon;1989-07-01;23218;Annual Estimate;37113
County;Macon;1999-07-01;29546;Annual Estimate;37113
County;Macon;2000-04-01;29802;Estimates Base;37113
County;Macon;2002-07-01;30759;Annual Estimate;37113
County;Macon;2004-07-01;31485;Annual Estimate;37113
County;Macon;2013-07-01;34201;Annual Estimate;37113
County;Macon;2024-07-01;38455;Annual Estimate;37113
County;Madison;1984-07-01;17019;Annual Estimate;37115
County;Madison;1986-07-01;17120;Annual Estimate;37115
County;Madison;1998-07-01;19251;Annual Estimate;37115
County;Madison;2022-07-01;21373;Annual Estimate;37115
County;Martin;1970-04-01;24730;Estimates Base;37117
County;Martin;1986-07-01;25693;Annual Estimate;37117
County;Martin;2000-07-01;25514;Annual Estimate;37117
County;Martin;2004-07-01;24769;Annual Estimate;37117
County;Martin;2008-07-01;24497;Annual Estimate;37117
County;Martin;2023-07-01;21208;Annual Estimate;37117
County;Mecklenburg;1994-07-01;575471;Annual Estimate;37119
County;Mecklenburg;2000-04-01;695348;Estimates Base;37119
County;Mecklenburg;2010-04-01;919675;Estimates Base;37119
County;Mecklenburg;2012-07-01;962026;Annual Estimate;37119
County;Mecklenburg;2017-07-01;1076357;Annual Estimate;37119
County;Mecklenburg;2020-04-01;1115535;Estimates Base;37119
County;Mecklenburg;2024-07-01;1204215;Annual Estimate;37119
County;Mitchell;1999-07-01;15643;Annual Estimate;37121
County;Mitchell;2009-07-01;15602;Annual Estimate;37121
County;Mitchell;2014-07-01;15150;Annual Estimate;37121
County;Montgomery;2000-04-01;26797;Estimates Base;37123
County;Montgomery;2004-07-01;26892;Annual Estimate;37123
County;Montgomery;2016-07-01;26152;Annual Estimate;37123
County;Montgomery;2024-07-01;26152;Annual Estimate;37123
County;Moore;1986-07-01;54909;Annual Estimate;37125
County;Moore;1997-07-01;70727;Annual Estimate;37125
County;Moore;2003-07-01;77927;Annual Estimate;37125
County;Moore;2020-04-01;99741;Estimates Base;37125
County;Nash;1970-04-01;59122;Estimates Base;37127
County;Nash;1975-07-01;64200;Annual Estimate;37127
County;Nash;2005-07-01;90305;Annual Estimate;37127
County;Nash;2006-07-01;91229;Annual Estimate;37127
County;Nash;2010-07-01;95782;Annual Estimate;37127
County;Nash;2011-07-01;95664;Annual Estimate;37127
County;Nash;2014-07-01;93794;Annual Estimate;37127
County;New Hanover;1984-07-01;110131;Annual Estimate;37129
County;New Hanover;1987-07-01;115922;Annual Estimate;37129
County;New Hanover;1993-07-01;133769;Annual Estimate;37129
County;New Hanover;1994-07-01;139039;Annual Estimate;37129
County;New Hanover;2007-07-01;193928;Annual Estimate;37129
County;New Hanover;2012-07-01;208126;Annual Estimate;37129
County;New Hanover;2022-07-01;237208;Annual Estimate;37129
County;Northampton;2014-07-01;20060;Annual Estimate;37131
County;Northampton;2020-04-01;17474;Estimates Base;37131
County;Onslow;1981-07-01;116051;Annual Estimate;37133
County;Onslow;1983-07-01;124148;Annual Estimate;37133
County;Onslow;1988-07-01;142642;Annual Estimate;37133
County;Onslow;1994-07-01;147738;Annual Estimate;37133
County;Onslow;1998-07-01;150435;Annual Estimate;37133
County;Onslow;2002-07-01;153479;Annual Estimate;37133
County;Onslow;2008-07-01;174829;Annual Estimate;37133
County;Onslow;2015-07-01;193610;Annual Estimate;37133
County;Orange;1984-07-01;81274;Annual Estimate;37135
County;Orange;2005-07-01;122613;Annual Estimate;37135
County;Orange;2013-07-01;139785;Annual Estimate;37135
County;Pamlico;1980-04-01;10398;Estimates Base;37137
County;Pamlico;1988-07-01;11185;Annual Estimate;37137
County;Pamlico;1991-07-01;11522;Annual Estimate;37137
County;Pamlico;1999-07-01;12955;Annual Estimate;37137
County;Pamlico;2018-07-01;12487;Annual Estimate;37137
County;Pamlico;2020-04-01;12273;Estimates Base;37137
County;Pasquotank;1983-07-01;28763;Annual Estimate;37139
County;Pasquotank;1985-07-01;29491;Annual Estimate;37139
County;Pasquotank;1993-07-01;33076;Annual Estimate;37139
County;Pender;1985-07-01;24394;Annual Estimate;37141
County;Pender;2004-07-01;44097;Annual Estimate;37141
County;Pender;2014-07-01;54935;Annual Estimate;37141
County;Pender;2016-07-01;57082;Annual Estimate;37141
County;Perquimans;1984-07-01;9646;Annual Estimate;37143
County;Perquimans;1990-04-01;10447;Estimates Base;37143
County;Perquimans;1998-07-01;11264;Annual Estimate;37143
County;Perquimans;2000-07-01;11401;Annual Estimate;37143
County;Perquimans;2009-07-01;13347;Annual Estimate;37143
County;Perquimans;2010-04-01;13452;Estimates Base;37143
County;Person;1983-07-01;29308;Annual Estimate;37145
County;Person;1988-07-01;30144;Annual Estimate;37145
County;Person;1992-07-01;31023;Annual Estimate;37145
County;Person;2012-07-01;38823;Annual Estimate;37145
County;Pitt;1984-07-01;96362;Annual Estimate;37147
County;Pitt;1996-07-01;121514;Annual Estimate;37147
County;Pitt;2010-07-01;168567;Annual Estimate;37147
County;Pitt;2017-07-01;169207;Annual Estimate;37147
County;Pitt;2020-07-01;174037;Annual Estimate;37147
County;Pitt;2021-07-01;176737;Annual Estimate;37147
County;Polk;1970-04-01;11735;Estimates Base;37149
County;Polk;1997-07-01;17381;Annual Estimate;37149
County;Randolph;1990-04-01;106546;Estimates Base;37151
County;Randolph;2005-07-01;135222;Annual Estimate;37151
County;Randolph;2006-07-01;136379;Annual Estimate;37151
County;Randolph;2024-07-01;146650;Annual Estimate;37151
County;Richmond;1970-04-01;39889;Estimates Base;37153
County;Richmond;1985-07-01;45112;Annual Estimate;37153
County;Richmond;1994-07-01;45467;Annual Estimate;37153
County;Richmond;2000-07-01;46576;Annual Estimate;37153
County;Richmond;2007-07-01;46449;Annual Estimate;37153
County;Richmond;2011-07-01;46419;Annual Estimate;37153
County;Richmond;2019-07-01;43474;Annual Estimate;37153
County;Richmond;2022-07-01;42740;Annual Estimate;37153
County;Robeson;1982-07-01;103091;Annual Estimate;37155
County;Robeson;1998-07-01;120248;Annual Estimate;37155
County;Robeson;2002-07-01;124801;Annual Estimate;37155
County;Robeson;2003-07-01;125394;Annual Estimate;37155
County;Robeson;2009-07-01;133162;Annual Estimate;37155
County;Rockingham;1987-07-01;85320;Annual Estimate;37157
County;Rockingham;1989-07-01;85745;Annual Estimate;37157
County;Rockingham;1994-07-01;88382;Annual Estimate;37157
County;Rockingham;2004-07-01;92197;Annual Estimate;37157
County;Rockingham;2012-07-01;92575;Annual Estimate;37157
County;Rockingham;2018-07-01;90696;Annual Estimate;37157
County;Rowan;1970-04-01;90035;Estimates Base;37159
County;Rowan;1992-07-01;113717;Annual Estimate;37159
County;Rowan;2008-07-01;136617;Annual Estimate;37159
County;Rowan;2017-07-01;143811;Annual Estimate;37159
County;Rowan;2019-07-01;145847;Annual Estimate;37159
County;Rutherford;1980-04-01;53787;Estimates Base;37161
County;Rutherford;1991-07-01;57739;Annual Estimate;37161
County;Rutherford;1998-07-01;61812;Annual Estimate;37161
County;Rutherford;2000-04-01;62923;Estimates Base;37161
County;Rutherford;2006-07-01;65029;Annual Estimate;37161
County;Rutherford;2007-07-01;65542;Annual Estimate;37161
County;Rutherford;2009-07-01;67226;Annual Estimate;37161
County;Rutherford;2024-07-01;64827;Annual Estimate;37161
County;Sampson;1980-04-01;49687;Estimates Base;37163
County;Sampson;1987-07-01;48004;Annual Estimate;37163
County;Sampson;1993-07-01;50843;Annual Estimate;37163
County;Sampson;1996-07-01;54581;Annual Estimate;37163
County;Sampson;1997-07-01;56289;Annual Estimate;37163
County;Sampson;2005-07-01;61853;Annual Estimate;37163
County;Sampson;2007-07-01;62525;Annual Estimate;37163
County;Sampson;2012-07-01;62932;Annual Estimate;37163
County;Scotland;1996-07-01;35666;Annual Estimate;37165
County;Scotland;1997-07-01;35771;Annual Estimate;37165
County;Scotland;2003-07-01;35089;Annual Estimate;37165
County;Scotland;2006-07-01;36193;Annual Estimate;37165
County;Scotland;2008-07-01;36488;Annual Estimate;37165
County;Scotland;2023-07-01;32886;Annual Estimate;37165
County;Stanly;1996-07-01;55055;Annual Estimate;37167
County;Stanly;1998-07-01;56384;Annual Estimate;37167
County;Stanly;2003-07-01;58739;Annual Estimate;37167
County;Stanly;2014-07-01;60315;Annual Estimate;37167
County;Stokes;1985-07-01;35378;Annual Estimate;37169
County;Stokes;1993-07-01;39186;Annual Estimate;37169
County;Stokes;2011-07-01;46973;Annual Estimate;37169
County;Surry;1981-07-01;59624;Annual Estimate;37171
County;Surry;1985-07-01;60520;Annual Estimate;37171
County;Surry;1986-07-01;60780;Annual Estimate;37171
County;Surry;1993-07-01;64141;Annual Estimate;37171
County;Surry;1994-07-01;65238;Annual Estimate;37171
County;Surry;1998-07-01;69806;Annual Estimate;37171
County;Surry;2024-07-01;71360;Annual Estimate;37171
County;Swain;2000-07-01;13037;Annual Estimate;37173
County;Swain;2003-07-01;13334;Annual Estimate;37173
County;Swain;2008-07-01;13868;Annual Estimate;37173
County;Swain;2010-04-01;13978;Estimates Base;37173
County;Transylvania;1975-07-01;21700;Annual Estimate;37175
County;Transylvania;1983-07-01;24257;Annual Estimate;37175
County;Transylvania;1984-07-01;24631;Annual Estimate;37175
County;Transylvania;1992-07-01;26356;Annual Estimate;37175
County;Transylvania;1995-07-01;27516;Annual Estimate;37175
County;Transylvania;1998-07-01;28960;Annual Estimate;37175
County;Transylvania;1999-07-01;29068;Annual Estimate;37175
County;Transylvania;2009-07-01;32788;Annual Estimate;37175
