Geo_ID;Area Name;Area Type;Year;Variable;Value
37119;Mecklenburg County;County;2014;School Bus Average Mileage;18480.0
37119;Mecklenburg County;County;2012;School Bus Average Mileage;19974.0
37119;Mecklenburg County;County;2010;School Bus Average Mileage;19133.0
37119;Mecklenburg County;County;2012;Motorcyclists Injured;335.0
37119;Mecklenburg County;County;2012;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;2006;Bicyclist Fatalities;1.0
37119;Mecklenburg County;County;2007;Bicyclists Injured;56.0
37119;Mecklenburg County;County;2010;Motorcyclist Fatalities;5.0
37119;Mecklenburg County;County;2008;Bicyclist Fatalities;2.0
37119;Mecklenburg County;County;2008;Bicyclists Injured;57.0
37119;Mecklenburg County;County;2005;School Bus Average Mileage;119376.0
37119;Mecklenburg County;County;2004;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;1997;Accidents Caused by Exceeding Legal Speed;2220.0
37119;Mecklenburg County;County;1990;Accidents Caused by Exceeding Legal Speed;3004.0
37119;Mecklenburg County;County;2003;Bicyclists Injured;40.0
37119;Mecklenburg County;County;2002;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;2000;School Bus Accidents;190.0
37119;Mecklenburg County;County;1999;School Bus Accidents;177.0
37119;Mecklenburg County;County;2001;School Bus Average Mileage;97012.0
37119;Mecklenburg County;County;1993;Bicyclist Fatalities;1.0
37119;Mecklenburg County;County;1980;Alcohol Related Accidents;899.0
37119;Mecklenburg County;County;1992;Motorcyclists Injured;121.0
37119;Mecklenburg County;County;1990;Motorcyclists Injured;175.0
37119;Mecklenburg County;County;1990;School Bus Accidents;112.0
37119;Mecklenburg County;County;1988;Motorcyclist Fatalities;2.0
37119;Mecklenburg County;County;1988;Motorcyclists Injured;140.0
37119;Mecklenburg County;County;1988;Bicyclist Fatalities;1.0
37119;Mecklenburg County;County;1987;Motorcyclist Fatalities;7.0
37119;Mecklenburg County;County;1987;Vehicles Inspected;458443.0
37119;Mecklenburg County;County;1986;Motorcyclist Fatalities;7.0
37119;Mecklenburg County;County;1986;Bicyclist Fatalities;1.0
37119;Mecklenburg County;County;1997;Bicyclists Injured;99.0
37119;Mecklenburg County;County;1985;Motorcyclist Fatalities;4.0
37119;Mecklenburg County;County;1985;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;1985;Vehicles Inspected;424447.0
37119;Mecklenburg County;County;1995;School Bus Average Mileage;64180.0
37119;Mecklenburg County;County;1995;Motorcyclist Fatalities;4.0
37119;Mecklenburg County;County;1984;School Bus Accidents;175.0
37119;Mecklenburg County;County;2000;Vehicles Inspected;615488.0
37119;Mecklenburg County;County;2018;Motorcyclist Fatalities;5.0
37119;Mecklenburg County;County;2015;Auto and Truck Registrations;700411.0
37119;Mecklenburg County;County;2016;Traffic Accident Fatalities;93.0
